item1,item6,item10,item7,item2,item9,item5,money,order,bangding,des,item3,name,bindgold,id,item4,item8
xuechi;1,feixie;10,,zq30;1,lanchi;1,,jinjiedan001;2,,g1,1,"天宫豪华大礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1,，筋斗云*10，坐骑进阶丹*2，30级坐骑装备（随机）*1",fuhuo;2,天宫豪华大礼包,,g001,expfold_002;1,,
xuechi;1,huicheng;5,,,lanchi;1,,qianghuashi;10,,g2,1,大闹天宫新手卡：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5,fuhuo;2,大闹天宫新手卡,,g002,expfold_002;1,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g3,1,hao123专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，强力丹*1,fuhuo;2,hao123专属礼包,,g003,expfold_002;1,,
xuechi;1,huicheng;5,,expfold_005;1,lanchi;1,,qianghuashi;10,,g4,1,07073专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，五倍经验丹*1,fuhuo;2,07073专属礼包,,g004,expfold_002;1,,
xuechi;1,huicheng;5,,gongsudan;1,lanchi;1,,qianghuashi;10,,g5,1,265G专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，急速丹*1,fuhuo;2,265g专属礼包,,g005,expfold_002;1,,
xuechi;1,huicheng;5,,zq30;1,lanchi;1,,qianghuashi;10,,g6,1,17173专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，30级坐骑装备（随机）*1,fuhuo;2,17173专属礼包,,g006,expfold_002;1,,
xuechi;1,huicheng;5,,zhenqipill_00002;10,lanchi;1,,qianghuashi;10,,g7,1,cwan专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，小灵气丹*10,fuhuo;2,cwan专属礼包,,g007,expfold_002;1,,
xuechi;2,huicheng;5,,bscl;10,lanchi;1,,qianghuashi;10,,g8,1,多玩专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，宝石精华*10,fuhuo;2,多玩专属礼包,,g008,expfold_002;1,,
xuechi;3,huicheng;5,,jinjieshi;5,lanchi;1,,qianghuashi;10,,g9,1,福利平台专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，进阶石*5,fuhuo;2,福利平台专属礼包,,g009,expfold_002;1,,
silver10;1,,,,,,,,g10,1,,,10礼金码,,g010,,,
silver50;1,,,,,,,,g11,1,,,50礼金码,,g011,,,
silver100;1,,,,,,,,g12,1,,,100礼金码,,g012,,,
silver1000;1,,,,,,,,g13,1,,,1000礼金码,,g013,,,
xuechi;1,huicheng;5,,shuxingdan;1,lanchi;1,,qianghuashi;10,,g14,1,开服网专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，强力丹*1,fuhuo;2,开服网专属礼包,,g014,expfold_002;1,,
xuechi;1,huicheng;5,,expfold_005;1,lanchi;1,,qianghuashi;10,,g15,1,电玩巴士专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，五倍经验丹*1,fuhuo;2,电玩巴士专属礼包,,g015,expfold_002;1,,
xuechi;1,huicheng;5,,gongsudan;1,lanchi;1,,qianghuashi;10,,g16,1,40407专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，急速丹*1,fuhuo;2,40407专属礼包,,g016,expfold_002;1,,
xuechi;1,huicheng;5,,zq30;1,lanchi;1,,qianghuashi;10,,g17,1,一游网专属礼包：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，30级坐骑装备（随机）*1,fuhuo;2,一游网专属礼包,,g017,expfold_002;1,,
xuechi;1,huicheng;5,,expfold_005;1,lanchi;1,,qianghuashi;10,,g18,1,大闹天宫OL媒体普发新手卡：补血丹*1，聚灵丹*1，玫瑰*2，双倍经验丹*1，装备强化石*10，回城*5，五倍经验丹*1,fuhuo;2,大闹天宫OL媒体普发新手卡,,g018,expfold_002;1,,
